OD600:600																																																																																																		
																																																																																																		
	Time	T° OD600:600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	0:00:16	37	0.134	0.089	0.088	0.092	0.142	0.091	0.095	0.089	0.137	0.095			0.157	0.096	0.089	0.092	0.135	0.092	0.088	0.089	0.141	0.091			0.119	0.09	0.09	0.09	0.115	0.094	0.089	0.088	0.117	0.09			0.144	0.096	0.091	0.091	0.133	0.091	0.088	0.09	0.137	0.09			0.131	0.092	0.091	0.088	0.128	0.091	0.09	0.09	0.126	0.092			0.135	0.098	0.093	0.089	0.136	0.092	0.093	0.092	0.121	0.091			0.096	0.092	0.089	0.09	0.089	0.093	0.092	0.091	0.09	0.091			0.089	0.09	0.088	0.089	0.088	0.093	0.088	0.09	0.094	0.088		
	0:10:16	37	0.132	0.089	0.087	0.091	0.143	0.091	0.094	0.089	0.141	0.095			0.158	0.095	0.089	0.091	0.137	0.092	0.088	0.088	0.13	0.091			0.118	0.09	0.09	0.09	0.114	0.094	0.088	0.088	0.117	0.09			0.141	0.095	0.09	0.091	0.126	0.091	0.088	0.089	0.126	0.09			0.127	0.092	0.091	0.087	0.126	0.09	0.09	0.089	0.118	0.092			0.13	0.096	0.093	0.089	0.126	0.09	0.092	0.091	0.127	0.091			0.095	0.091	0.089	0.09	0.089	0.093	0.091	0.09	0.09	0.091			0.088	0.09	0.088	0.088	0.088	0.093	0.087	0.09	0.093	0.088		
	0:20:16	37	0.135	0.089	0.087	0.091	0.148	0.091	0.094	0.089	0.149	0.095			0.162	0.095	0.089	0.091	0.143	0.093	0.088	0.088	0.133	0.091			0.121	0.09	0.089	0.09	0.118	0.094	0.088	0.088	0.122	0.09			0.142	0.095	0.09	0.091	0.129	0.091	0.088	0.089	0.131	0.09			0.128	0.092	0.091	0.088	0.127	0.091	0.089	0.089	0.125	0.092			0.131	0.096	0.093	0.089	0.132	0.09	0.092	0.091	0.13	0.091			0.095	0.091	0.089	0.09	0.088	0.092	0.091	0.09	0.09	0.09			0.088	0.09	0.088	0.088	0.088	0.093	0.087	0.09	0.093	0.091		
	0:30:16	37	0.147	0.089	0.087	0.091	0.162	0.091	0.094	0.089	0.164	0.095			0.17	0.094	0.089	0.091	0.155	0.093	0.088	0.089	0.141	0.091			0.126	0.09	0.089	0.09	0.124	0.094	0.088	0.088	0.129	0.09			0.145	0.094	0.09	0.091	0.134	0.091	0.088	0.089	0.137	0.09			0.135	0.091	0.091	0.087	0.134	0.09	0.089	0.089	0.132	0.091			0.135	0.096	0.093	0.089	0.139	0.091	0.092	0.091	0.131	0.091			0.094	0.091	0.089	0.09	0.089	0.092	0.091	0.091	0.09	0.09			0.088	0.09	0.088	0.088	0.088	0.092	0.087	0.09	0.093	0.088		
	0:40:16	37	0.158	0.089	0.087	0.091	0.177	0.091	0.093	0.089	0.182	0.095			0.184	0.094	0.089	0.09	0.168	0.094	0.088	0.088	0.153	0.091			0.134	0.09	0.089	0.09	0.132	0.094	0.088	0.087	0.14	0.09			0.152	0.094	0.09	0.091	0.141	0.091	0.088	0.089	0.143	0.09			0.142	0.091	0.091	0.087	0.145	0.09	0.089	0.089	0.142	0.092			0.143	0.096	0.093	0.089	0.148	0.091	0.092	0.091	0.14	0.091			0.094	0.092	0.088	0.09	0.089	0.092	0.091	0.09	0.09	0.09			0.088	0.089	0.088	0.088	0.087	0.093	0.087	0.089	0.092	0.088		
	0:50:16	37	0.174	0.089	0.087	0.091	0.199	0.091	0.093	0.089	0.205	0.095			0.204	0.094	0.089	0.09	0.186	0.093	0.088	0.088	0.167	0.091			0.144	0.09	0.089	0.09	0.145	0.095	0.088	0.088	0.153	0.09			0.16	0.094	0.09	0.091	0.15	0.091	0.088	0.089	0.152	0.09			0.153	0.091	0.091	0.088	0.156	0.09	0.089	0.089	0.154	0.092			0.152	0.096	0.093	0.089	0.158	0.092	0.092	0.091	0.153	0.091			0.094	0.091	0.088	0.089	0.088	0.093	0.091	0.09	0.09	0.09			0.088	0.089	0.088	0.088	0.087	0.092	0.087	0.089	0.093	0.087		
	1:00:16	37	0.193	0.089	0.087	0.091	0.226	0.091	0.093	0.089	0.236	0.095			0.23	0.094	0.089	0.09	0.207	0.093	0.088	0.088	0.186	0.091			0.157	0.09	0.089	0.09	0.161	0.095	0.088	0.088	0.169	0.09			0.17	0.094	0.09	0.091	0.161	0.091	0.088	0.089	0.163	0.09			0.166	0.091	0.091	0.087	0.169	0.09	0.089	0.089	0.168	0.092			0.163	0.096	0.093	0.089	0.17	0.093	0.092	0.091	0.166	0.091			0.094	0.091	0.088	0.09	0.088	0.095	0.091	0.09	0.09	0.09			0.088	0.089	0.088	0.088	0.087	0.092	0.087	0.09	0.093	0.089		
	1:10:16	37	0.214	0.089	0.087	0.091	0.257	0.091	0.093	0.089	0.271	0.095			0.264	0.094	0.089	0.09	0.231	0.093	0.088	0.089	0.208	0.091			0.172	0.09	0.089	0.09	0.178	0.096	0.088	0.088	0.191	0.09			0.181	0.094	0.09	0.091	0.173	0.091	0.088	0.089	0.175	0.09			0.183	0.091	0.091	0.088	0.187	0.09	0.089	0.089	0.186	0.092			0.176	0.095	0.093	0.089	0.183	0.094	0.091	0.091	0.181	0.091			0.094	0.09	0.089	0.09	0.088	0.092	0.091	0.09	0.09	0.09			0.088	0.089	0.088	0.088	0.088	0.092	0.087	0.09	0.092	0.089		
	1:20:16	36.9	0.239	0.089	0.087	0.09	0.295	0.091	0.093	0.089	0.307	0.095			0.295	0.094	0.089	0.09	0.262	0.093	0.088	0.088	0.236	0.091			0.19	0.09	0.089	0.09	0.199	0.095	0.088	0.088	0.214	0.09			0.194	0.094	0.09	0.091	0.187	0.092	0.088	0.089	0.19	0.09			0.202	0.091	0.091	0.087	0.208	0.091	0.089	0.089	0.208	0.092			0.191	0.096	0.093	0.089	0.2	0.094	0.091	0.091	0.199	0.091			0.094	0.09	0.088	0.09	0.089	0.092	0.091	0.09	0.09	0.09			0.088	0.089	0.088	0.088	0.087	0.092	0.087	0.089	0.093	0.087		
	1:30:16	37	0.262	0.089	0.087	0.091	0.317	0.091	0.093	0.089	0.33	0.095			0.316	0.094	0.089	0.09	0.293	0.094	0.088	0.088	0.266	0.091			0.211	0.09	0.089	0.09	0.224	0.096	0.088	0.088	0.242	0.09			0.209	0.094	0.09	0.091	0.204	0.092	0.088	0.089	0.206	0.09			0.223	0.091	0.091	0.088	0.234	0.091	0.089	0.089	0.232	0.092			0.212	0.095	0.093	0.089	0.22	0.095	0.091	0.091	0.222	0.091			0.094	0.09	0.088	0.09	0.088	0.093	0.091	0.09	0.09	0.091			0.088	0.089	0.088	0.088	0.088	0.092	0.087	0.09	0.092	0.088		
