0s,0.0845,0.1034,0.1118,0.1096,0.105,0.1139,0.112,0.104,0.1153,0.1145,0.1116,0.0862,0.1124,0.103,0.1148,0.116,0.1136,0.1056,0.1059,0.1142,0.1074,0.1122,0.1087,0.1091,0.1084,0.1074,0.1085,0.1027,0.1067,0.1029,0.1054,0.1013,0.1083,0.1007,0.1026,0.103,0.1034,0.1012,0.1076,0.1044,0.1013,0.1073,0.11,0.1111,0.1063,0.1037,0.1057,0.1055,0.1097,0.1076,0.1003,0.1056,0.1022,0.103,0.1093,0.1017,0.1018,0.1021,0.1069,0.1073,0.1073,0.1068,0.1081,0.1103,0.1098,0.1022,0.1093,0.1064,0.1074,0.1013,0.1073,0.1039,0.1042,0.1044,0.1041,0.1045,0.1058,0.1128,0.1047,0.0883,0.1114,0.1089,0.1143,0.1062,0.0857,0.103,0.1053,0.1063,0.1021,0.104,0.1018,0.1035,0.1047,0.1033,0.1042,0.0897
600s,0.0841,0.1031,0.1115,0.1094,0.1048,0.1138,0.1118,0.1038,0.1153,0.114,0.1116,0.0858,0.1121,0.1028,0.1148,0.1161,0.1132,0.1053,0.1058,0.1142,0.1072,0.1119,0.1087,0.109,0.1082,0.1074,0.108,0.1025,0.1066,0.1028,0.1054,0.1012,0.1083,0.1008,0.1023,0.1028,0.1033,0.1011,0.1077,0.1043,0.1014,0.1073,0.1101,0.111,0.1062,0.1036,0.1057,0.1054,0.1097,0.1062,0.1004,0.1056,0.1022,0.103,0.1092,0.1016,0.1018,0.1021,0.107,0.1074,0.1073,0.1069,0.108,0.1102,0.1096,0.1021,0.1093,0.1064,0.1077,0.1011,0.1072,0.103,0.104,0.1043,0.104,0.1044,0.1059,0.1121,0.1048,0.0884,0.1112,0.1091,0.1133,0.1063,0.0855,0.103,0.1054,0.1064,0.102,0.1039,0.1019,0.1034,0.1045,0.1035,0.1041,0.0894
1200s,0.0839,0.1032,0.1116,0.1094,0.1049,0.1138,0.1118,0.1038,0.1154,0.1146,0.1119,0.0853,0.1126,0.103,0.115,0.1161,0.1139,0.1054,0.1059,0.1145,0.1074,0.1123,0.1088,0.1093,0.1083,0.1074,0.108,0.1025,0.1068,0.1029,0.1055,0.1015,0.1085,0.1014,0.1026,0.1029,0.1035,0.1011,0.1076,0.1043,0.1016,0.1074,0.1103,0.1111,0.1062,0.1038,0.1061,0.1055,0.1098,0.1091,0.1007,0.1057,0.1028,0.1027,0.1091,0.1019,0.1018,0.1023,0.1071,0.1074,0.1073,0.1072,0.1081,0.1104,0.1097,0.1023,0.1099,0.1065,0.1078,0.1013,0.1072,0.1034,0.1042,0.1044,0.1042,0.1045,0.1059,0.1119,0.1049,0.0882,0.1115,0.1093,0.1133,0.1067,0.0855,0.1034,0.1056,0.1065,0.1024,0.104,0.1028,0.1036,0.1047,0.1034,0.1042,0.0891
1800s,0.0837,0.1039,0.1118,0.1097,0.1058,0.1139,0.112,0.1045,0.1157,0.1149,0.1129,0.085,0.1135,0.1037,0.1153,0.1166,0.1147,0.1054,0.1061,0.1153,0.1078,0.1125,0.1092,0.1095,0.1085,0.1076,0.108,0.103,0.1072,0.1037,0.106,0.1025,0.1091,0.103,0.1031,0.1036,0.104,0.1018,0.1082,0.105,0.102,0.1076,0.1107,0.1117,0.1065,0.1044,0.1071,0.1062,0.1098,0.1084,0.1018,0.1063,0.1047,0.1031,0.1095,0.1027,0.1024,0.1032,0.1078,0.108,0.1075,0.1077,0.1082,0.1109,0.1099,0.1029,0.111,0.1071,0.1085,0.1023,0.1078,0.1047,0.1046,0.1051,0.1047,0.1053,0.1065,0.1119,0.1052,0.0882,0.1119,0.1096,0.1133,0.1071,0.0853,0.104,0.106,0.1068,0.1032,0.1044,0.1044,0.1038,0.1052,0.1041,0.1049,0.0886
2400s,0.0836,0.1054,0.1122,0.1102,0.1074,0.1146,0.1126,0.1062,0.1165,0.1154,0.1143,0.0848,0.1149,0.1051,0.1164,0.1172,0.116,0.1055,0.1067,0.1168,0.1082,0.1131,0.1098,0.1098,0.1091,0.108,0.1083,0.1043,0.1084,0.1048,0.1069,0.1043,0.1101,0.1058,0.1044,0.105,0.1051,0.1031,0.1096,0.1061,0.1026,0.108,0.1112,0.1124,0.1071,0.1056,0.1087,0.1074,0.1102,0.1101,0.1036,0.1074,0.1076,0.1038,0.1105,0.1041,0.1036,0.1048,0.1089,0.1092,0.1079,0.1091,0.1085,0.1114,0.1105,0.1041,0.1131,0.1084,0.1096,0.1044,0.1088,0.1068,0.1053,0.1062,0.1058,0.1069,0.1073,0.1123,0.1057,0.0881,0.1123,0.11,0.1134,0.1081,0.0852,0.1055,0.107,0.1074,0.1049,0.1048,0.1071,0.1048,0.1062,0.1051,0.1066,0.0884
3000s,0.0833,0.1074,0.1128,0.1108,0.1099,0.1155,0.1132,0.1089,0.1175,0.1159,0.1157,0.0844,0.1165,0.1075,0.118,0.118,0.1179,0.1056,0.1073,0.1187,0.1089,0.1139,0.1105,0.1103,0.11,0.1086,0.1088,0.1063,0.1104,0.1065,0.1086,0.1067,0.112,0.1098,0.1064,0.1071,0.1068,0.1054,0.1119,0.1081,0.1034,0.1088,0.112,0.1136,0.1078,0.1077,0.1109,0.1094,0.1108,0.1083,0.1066,0.1088,0.1118,0.1051,0.1119,0.1065,0.1054,0.1077,0.1108,0.1112,0.1083,0.1107,0.1091,0.1123,0.1113,0.106,0.1159,0.1103,0.1112,0.1073,0.1103,0.1099,0.1066,0.108,0.1076,0.1094,0.1087,0.1136,0.1063,0.0881,0.1131,0.1111,0.1137,0.1098,0.085,0.1077,0.1084,0.1083,0.1075,0.1058,0.1109,0.1062,0.1081,0.1066,0.109,0.0881
3600s,0.0833,0.1109,0.1143,0.1116,0.1139,0.1172,0.1144,0.113,0.1195,0.1169,0.1183,0.0844,0.1187,0.1114,0.1201,0.1196,0.1203,0.1062,0.1085,0.1214,0.1101,0.1152,0.1118,0.1114,0.1118,0.1097,0.1098,0.1092,0.1132,0.1092,0.111,0.1105,0.1149,0.1155,0.1095,0.1105,0.1098,0.1091,0.1157,0.1112,0.1049,0.11,0.113,0.1152,0.1088,0.111,0.1143,0.1123,0.1117,0.1102,0.1106,0.1113,0.1181,0.1073,0.1145,0.11,0.1085,0.1119,0.1139,0.1145,0.1097,0.1136,0.1102,0.1137,0.1126,0.1093,0.12,0.1135,0.114,0.1115,0.1129,0.1144,0.1087,0.1112,0.1106,0.1134,0.1114,0.1168,0.1075,0.088,0.1142,0.1127,0.1147,0.1126,0.0851,0.1108,0.1108,0.11,0.1109,0.1078,0.1162,0.1086,0.1111,0.1091,0.1128,0.0881
4200s,0.0831,0.1154,0.1158,0.1127,0.1196,0.1198,0.116,0.1187,0.1221,0.1191,0.1214,0.0842,0.1215,0.117,0.1229,0.1212,0.1234,0.1069,0.1101,0.1249,0.1115,0.1166,0.1133,0.1124,0.1141,0.1108,0.111,0.1134,0.1167,0.1131,0.1143,0.1156,0.119,0.1232,0.1141,0.1156,0.1141,0.1144,0.1195,0.1158,0.107,0.1113,0.1141,0.1171,0.1102,0.1158,0.1183,0.1163,0.1131,0.114,0.116,0.1149,0.126,0.1105,0.1182,0.1153,0.1129,0.1182,0.118,0.1189,0.1114,0.1174,0.1117,0.1154,0.1142,0.1137,0.1248,0.1178,0.1173,0.1167,0.1163,0.1202,0.112,0.1156,0.1149,0.119,0.1147,0.1308,0.1092,0.0889,0.1155,0.1144,0.1158,0.1168,0.0849,0.1145,0.1141,0.1123,0.1153,0.1101,0.1231,0.1116,0.1151,0.1124,0.1182,0.0879
4800s,0.083,0.1218,0.1181,0.114,0.1274,0.1231,0.1183,0.1266,0.1255,0.1231,0.1247,0.084,0.1247,0.1246,0.1269,0.1238,0.1267,0.1081,0.112,0.1286,0.1136,0.1183,0.1152,0.1138,0.1168,0.1124,0.1128,0.1195,0.1211,0.1189,0.1181,0.1226,0.124,0.1332,0.1203,0.1227,0.1201,0.1223,0.1252,0.1222,0.1097,0.1128,0.1157,0.1197,0.1118,0.1223,0.1238,0.122,0.1148,0.1177,0.1229,0.1196,0.137,0.115,0.1236,0.1228,0.1189,0.1274,0.1238,0.1254,0.1138,0.1224,0.1138,0.118,0.1163,0.1201,0.1308,0.1242,0.1221,0.1236,0.1208,0.1278,0.1171,0.122,0.1206,0.1273,0.1193,0.1465,0.1119,0.0879,0.1173,0.117,0.1172,0.1228,0.0849,0.119,0.1188,0.1155,0.1214,0.1137,0.1319,0.1161,0.1211,0.117,0.126,0.0876
5400s,0.0828,0.13,0.1211,0.116,0.1386,0.1273,0.1212,0.1372,0.1303,0.1253,0.1287,0.084,0.1285,0.1348,0.132,0.127,0.1305,0.1096,0.1138,0.1329,0.1162,0.1207,0.1177,0.1156,0.1202,0.1143,0.1153,0.1278,0.1269,0.1266,0.1237,0.1302,0.1314,0.1455,0.1288,0.1324,0.1281,0.1327,0.1328,0.1314,0.1134,0.1147,0.1176,0.1231,0.1142,0.1314,0.1305,0.1296,0.1166,0.1273,0.1307,0.1259,0.1504,0.1215,0.1311,0.1329,0.1281,0.1392,0.1314,0.1348,0.1173,0.1286,0.1166,0.1213,0.1188,0.129,0.1386,0.1326,0.1287,0.1323,0.1264,0.1374,0.1239,0.1309,0.1283,0.1382,0.126,0.1503,0.1154,0.0879,0.1201,0.1199,0.1196,0.1312,0.0848,0.125,0.1252,0.12,0.1288,0.1182,0.1426,0.1224,0.1292,0.1237,0.1363,0.0875
6000s,0.0827,0.1405,0.1254,0.1186,0.1515,0.1328,0.1246,0.1504,0.1367,0.129,0.1335,0.0839,0.1329,0.1473,0.1382,0.1309,0.1351,0.1118,0.1163,0.1374,0.1195,0.1236,0.1208,0.118,0.1251,0.1167,0.1184,0.1395,0.1334,0.1371,0.1314,0.141,0.1405,0.1605,0.14,0.1452,0.1387,0.1463,0.1424,0.1429,0.1185,0.1171,0.12,0.1272,0.1173,0.1432,0.1389,0.1398,0.1189,0.1322,0.1415,0.1339,0.1658,0.1299,0.141,0.146,0.139,0.1538,0.141,0.1469,0.1219,0.137,0.1201,0.1253,0.1223,0.1411,0.148,0.1437,0.1371,0.1432,0.1339,0.1497,0.1336,0.1425,0.1383,0.152,0.1348,0.1581,0.1205,0.0877,0.1236,0.1241,0.122,0.1425,0.0847,0.1322,0.1338,0.1262,0.1385,0.1246,0.1551,0.1304,0.1399,0.1325,0.1497,0.0874
6600s,0.0827,0.1532,0.1308,0.1221,0.1672,0.1404,0.1292,0.1667,0.145,0.1343,0.1389,0.0839,0.1376,0.1618,0.1461,0.1358,0.1402,0.1146,0.1193,0.143,0.1237,0.1277,0.1245,0.1212,0.1308,0.1203,0.1225,0.1538,0.1416,0.1505,0.1413,0.1524,0.1527,0.1794,0.1537,0.1607,0.1522,0.1625,0.1548,0.1579,0.1254,0.1204,0.1236,0.133,0.1214,0.159,0.1498,0.1529,0.1213,0.1417,0.1526,0.1437,0.1841,0.1404,0.1531,0.1618,0.1526,0.1712,0.1529,0.1621,0.1283,0.1472,0.1248,0.1306,0.1269,0.1559,0.1589,0.1578,0.1482,0.1561,0.1432,0.1653,0.1464,0.1572,0.1508,0.1682,0.1453,0.1711,0.1268,0.0877,0.1278,0.1293,0.1252,0.1577,0.0849,0.1415,0.145,0.1344,0.1497,0.1328,0.1698,0.1411,0.1532,0.1442,0.1656,0.0872
7200s,0.0826,0.1692,0.1382,0.1265,0.1868,0.1495,0.135,0.1868,0.1555,0.1399,0.1449,0.0838,0.1432,0.1799,0.1564,0.1421,0.1464,0.1185,0.1232,0.1492,0.1288,0.1322,0.1295,0.1252,0.138,0.125,0.1278,0.1707,0.1514,0.1666,0.1549,0.1674,0.1654,0.2016,0.1695,0.1791,0.1686,0.1818,0.1692,0.1761,0.1348,0.125,0.1282,0.1397,0.127,0.1775,0.1626,0.1687,0.1245,0.1546,0.1671,0.1563,0.2061,0.1538,0.1683,0.1803,0.1697,0.1913,0.1674,0.1804,0.1365,0.1601,0.1307,0.1371,0.1331,0.1737,0.1718,0.1748,0.1627,0.1714,0.1553,0.1837,0.1617,0.1739,0.1657,0.187,0.1589,0.1862,0.1353,0.0892,0.1332,0.1358,0.1309,0.1759,0.0847,0.1516,0.159,0.1451,0.1633,0.1439,0.1882,0.1551,0.1697,0.1581,0.1839,0.087
7800s,0.0826,0.1887,0.1474,0.1322,0.2103,0.1607,0.1426,0.2116,0.1689,0.1476,0.1519,0.0838,0.1498,0.202,0.1687,0.15,0.1536,0.1234,0.1281,0.1566,0.1349,0.1381,0.1357,0.1299,0.1464,0.1304,0.1344,0.1913,0.163,0.1855,0.1714,0.184,0.1823,0.2282,0.189,0.201,0.1871,0.2043,0.1857,0.1967,0.1463,0.1303,0.1341,0.148,0.1337,0.1985,0.1776,0.1874,0.1288,0.1702,0.1828,0.1712,0.2319,0.1702,0.1862,0.2024,0.1899,0.216,0.1841,0.2023,0.1481,0.1754,0.138,0.1443,0.14,0.1945,0.187,0.1946,0.1799,0.1892,0.1696,0.2062,0.1807,0.1945,0.1835,0.2087,0.1742,0.1963,0.1465,0.0884,0.14,0.1437,0.1352,0.1975,0.085,0.1643,0.1759,0.1589,0.1789,0.1572,0.2096,0.1707,0.1887,0.174,0.2059,0.087
8400s,0.0826,0.2124,0.1591,0.1396,0.2366,0.1743,0.1524,0.2378,0.1852,0.1569,0.16,0.0838,0.1573,0.2287,0.1839,0.1594,0.1613,0.1296,0.1339,0.1647,0.1425,0.1448,0.1434,0.1358,0.1563,0.1377,0.1428,0.2153,0.1777,0.2078,0.1906,0.2039,0.2007,0.2553,0.211,0.2265,0.2096,0.2313,0.2053,0.2211,0.1608,0.1369,0.1413,0.1579,0.1416,0.2242,0.1956,0.2095,0.134,0.1882,0.2027,0.1886,0.2566,0.1898,0.2075,0.2286,0.2133,0.2445,0.2034,0.2282,0.1628,0.1933,0.1471,0.1532,0.1485,0.2194,0.2054,0.2183,0.1999,0.2096,0.1855,0.2314,0.203,0.2178,0.2045,0.2344,0.1919,0.2152,0.1607,0.0895,0.1483,0.1532,0.1423,0.224,0.0847,0.1787,0.1961,0.1747,0.1976,0.1732,0.2328,0.1904,0.2116,0.194,0.2316,0.087
9000s,0.0826,0.2356,0.1732,0.1484,0.2643,0.1901,0.1643,0.2645,0.2045,0.1683,0.1684,0.0838,0.1658,0.2536,0.2001,0.1706,0.1698,0.1363,0.1404,0.173,0.1508,0.1531,0.1521,0.1419,0.1683,0.1462,0.1516,0.2424,0.1948,0.2336,0.2122,0.2265,0.2227,0.2785,0.2367,0.2527,0.2364,0.2584,0.228,0.2494,0.1783,0.1452,0.1501,0.1697,0.1508,0.2518,0.2173,0.2344,0.1404,0.2089,0.226,0.2089,0.2781,0.2144,0.2335,0.2564,0.2416,0.2744,0.2266,0.257,0.1801,0.2141,0.1579,0.1641,0.1589,0.2485,0.2279,0.2459,0.2241,0.234,0.2051,0.2542,0.2268,0.2454,0.2302,0.2612,0.2136,0.2413,0.1772,0.0876,0.1581,0.1633,0.1521,0.2514,0.0846,0.1964,0.2196,0.1927,0.2196,0.1913,0.2496,0.2133,0.2373,0.2171,0.2569,0.0868
