well,value,reading,time.min
A1,0.0845,OD,0
A1,0.0841,OD,10
A1,0.0839,OD,20
A1,0.0837,OD,30
A1,0.0836,OD,40
A1,0.0833,OD,50
A1,0.0833,OD,60
A1,0.0831,OD,70
A1,0.083,OD,80
A1,0.0828,OD,90
A1,0.0827,OD,100
A1,0.0827,OD,110
A1,0.0826,OD,120
A1,0.0826,OD,130
A1,0.0826,OD,140
A1,0.0826,OD,150
A1,0.0825,OD,160
A1,0.0825,OD,170
A1,0.0824,OD,180
A1,0.0825,OD,190
A1,0.0825,OD,200
A1,0.0824,OD,210
A1,0.0824,OD,220
A1,0.0824,OD,230
A1,0.0824,OD,240
A1,0.0823,OD,250
A1,0.0824,OD,260
A1,0.0824,OD,270
A1,0.0824,OD,280
A1,0.0824,OD,290
A1,0.0825,OD,300
A1,0.0824,OD,310
A1,0.0823,OD,320
A1,0.0825,OD,330
A1,0.0825,OD,340
A1,0.0825,OD,350
A1,0.0824,OD,360
A1,0.0825,OD,370
A1,0.0825,OD,380
A1,0.0825,OD,390
A1,0.0826,OD,400
A1,0.0826,OD,410
A1,0.0826,OD,420
A1,0.0826,OD,430
A1,0.0825,OD,440
A1,0.0827,OD,450
A1,0.0826,OD,460
A1,0.0827,OD,470
A1,0.0826,OD,480
A1,0.0826,OD,490
A1,0.0827,OD,500
A1,0.0827,OD,510
A1,0.0827,OD,520
A1,0.0827,OD,530
A1,0.0828,OD,540
A1,0.0827,OD,550
A1,0.0827,OD,560
A1,0.0828,OD,570
A1,0.0828,OD,580
A1,0.0828,OD,590
A1,0.0828,OD,600
A1,0.0829,OD,610
A1,0.0829,OD,620
A1,0.0829,OD,630
A1,0.0829,OD,640
A1,0.083,OD,650
A1,0.0829,OD,660
A1,0.0829,OD,670
A1,0.0829,OD,680
A1,0.083,OD,690
A1,0.083,OD,700
A1,0.0829,OD,710
A1,0.0829,OD,720
A1,0.0831,OD,730
A1,0.083,OD,740
A1,0.0831,OD,750
A1,0.0831,OD,760
A1,0.0831,OD,770
A1,0.0831,OD,780
A1,0.0832,OD,790
A1,0.0831,OD,800
A1,0.0831,OD,810
A1,0.0829,OD,820
A1,0.0832,OD,830
A1,0.0832,OD,840
A1,0.0832,OD,850
A1,0.0831,OD,860
A1,0.0833,OD,869
A1,0.0831,OD,880
A1,0.0831,OD,889
A1,0.0833,OD,899
A1,0.0832,OD,909
A1,0.0832,OD,920
A1,0.0833,OD,929
A1,0.0833,OD,939
A1,0.0833,OD,949
A1,0.0833,OD,959
A1,0.0833,OD,969
A1,0.0833,OD,979
A1,0.0834,OD,989
A1,0.0833,OD,999
A1,0.0834,OD,1009
A1,0.0834,OD,1019
A1,0.0833,OD,1029
A1,0.0833,OD,1039
A1,0.0835,OD,1049
A1,0.0834,OD,1059
A1,0.0834,OD,1069
A1,0.0835,OD,1079
A1,0.0834,OD,1089
A1,0.0835,OD,1099
A1,0.0833,OD,1109
A1,0.0834,OD,1119
A1,0.0835,OD,1129
A1,0.0835,OD,1139
A1,0.0835,OD,1150
A1,0.0835,OD,1159
A1,0.0834,OD,1170
A1,0.0835,OD,1179
A1,0.0834,OD,1190
A1,0.0834,OD,1199
A1,0.0837,OD,1209
A1,0.0835,OD,1219
A1,0.0837,OD,1229
A1,0.0838,OD,1240
A1,0.0837,OD,1249
A1,0.0837,OD,1260
A1,0.0837,OD,1269
A1,0.0837,OD,1279
A1,0.0837,OD,1289
A1,0.0838,OD,1299
A1,0.0837,OD,1309
A1,0.0838,OD,1319
A1,0.0838,OD,1329
A1,0.0838,OD,1339
A2,0.1034,OD,0
A2,0.1031,OD,10
A2,0.1032,OD,20
A2,0.1039,OD,30
A2,0.1054,OD,40
A2,0.1074,OD,50
A2,0.1109,OD,60
A2,0.1154,OD,70
A2,0.1218,OD,80
A2,0.13,OD,90
A2,0.1405,OD,100
A2,0.1532,OD,110
A2,0.1692,OD,120
A2,0.1887,OD,130
A2,0.2124,OD,140
A2,0.2356,OD,150
A2,0.2618,OD,160
A2,0.2842,OD,170
A2,0.3054,OD,180
A2,0.3289,OD,190
A2,0.3494,OD,200
A2,0.3606,OD,210
A2,0.3685,OD,220
A2,0.3869,OD,230
A2,0.3984,OD,240
A2,0.4085,OD,250
A2,0.4227,OD,260
A2,0.4351,OD,270
A2,0.4469,OD,280
A2,0.457,OD,290
A2,0.468,OD,300
A2,0.4834,OD,310
A2,0.4926,OD,320
A2,0.4989,OD,330
A2,0.5043,OD,340
A2,0.5128,OD,350
A2,0.5165,OD,360
A2,0.5224,OD,370
A2,0.5283,OD,380
A2,0.5346,OD,390
A2,0.541,OD,400
A2,0.5465,OD,410
A2,0.5528,OD,420
A2,0.5595,OD,430
A2,0.5657,OD,440
A2,0.5724,OD,450
A2,0.5802,OD,460
A2,0.5888,OD,470
A2,0.5929,OD,480
A2,0.5972,OD,490
A2,0.6006,OD,500
A2,0.6052,OD,510
A2,0.6169,OD,520
A2,0.6185,OD,530
A2,0.6271,OD,540
A2,0.6361,OD,550
A2,0.6402,OD,560
A2,0.6429,OD,570
A2,0.6467,OD,580
A2,0.6575,OD,590
A2,0.6655,OD,600
A2,0.6651,OD,610
A2,0.6688,OD,620
A2,0.6787,OD,630
A2,0.6845,OD,640
A2,0.6841,OD,650
A2,0.6811,OD,660
A2,0.6868,OD,670
A2,0.6861,OD,680
A2,0.6934,OD,690
A2,0.7013,OD,700
A2,0.7055,OD,710
A2,0.7091,OD,720
A2,0.71,OD,730
A2,0.7142,OD,740
A2,0.7167,OD,750
A2,0.7196,OD,760
A2,0.7239,OD,770
A2,0.7258,OD,780
A2,0.7291,OD,790
A2,0.7329,OD,800
A2,0.7341,OD,810
A2,0.7367,OD,820
A2,0.7407,OD,830
A2,0.7413,OD,840
A2,0.7449,OD,850
A2,0.7476,OD,860
A2,0.7482,OD,869
A2,0.7517,OD,880
A2,0.7542,OD,889
A2,0.7596,OD,899
A2,0.7627,OD,909
A2,0.7646,OD,920
A2,0.7673,OD,929
A2,0.7692,OD,939
A2,0.7695,OD,949
A2,0.77,OD,959
A2,0.7708,OD,969
A2,0.7725,OD,979
A2,0.7734,OD,989
A2,0.7722,OD,999
A2,0.772,OD,1009
A2,0.7725,OD,1019
A2,0.7749,OD,1029
A2,0.7779,OD,1039
A2,0.7781,OD,1049
A2,0.7813,OD,1059
A2,0.7827,OD,1069
A2,0.7846,OD,1079
A2,0.7859,OD,1089
A2,0.7875,OD,1099
A2,0.7876,OD,1109
A2,0.792,OD,1119
A2,0.7935,OD,1129
A2,0.7919,OD,1139
A2,0.7942,OD,1150
A2,0.7955,OD,1159
A2,0.7958,OD,1170
A2,0.7931,OD,1179
A2,0.7982,OD,1190
A2,0.7987,OD,1199
A2,0.8043,OD,1209
A2,0.802,OD,1219
A2,0.8018,OD,1229
A2,0.8005,OD,1240
A2,0.8005,OD,1249
A2,0.8016,OD,1260
A2,0.8192,OD,1269
A2,0.8041,OD,1279
A2,0.8031,OD,1289
A2,0.803,OD,1299
A2,0.8041,OD,1309
A2,0.8024,OD,1319
A2,0.8159,OD,1329
A2,0.8018,OD,1339
A3,0.1118,OD,0
A3,0.1115,OD,10
A3,0.1116,OD,20
A3,0.1118,OD,30
A3,0.1122,OD,40
A3,0.1128,OD,50
A3,0.1143,OD,60
A3,0.1158,OD,70
A3,0.1181,OD,80
A3,0.1211,OD,90
A3,0.1254,OD,100
A3,0.1308,OD,110
A3,0.1382,OD,120
A3,0.1474,OD,130
A3,0.1591,OD,140
A3,0.1732,OD,150
A3,0.1897,OD,160
A3,0.2102,OD,170
A3,0.232,OD,180
A3,0.2566,OD,190
A3,0.284,OD,200
A3,0.308,OD,210
A3,0.3301,OD,220
A3,0.3517,OD,230
A3,0.3715,OD,240
A3,0.3839,OD,250
A3,0.4039,OD,260
A3,0.4138,OD,270
A3,0.4256,OD,280
A3,0.4404,OD,290
A3,0.4584,OD,300
A3,0.4763,OD,310
A3,0.4927,OD,320
A3,0.5068,OD,330
A3,0.5201,OD,340
A3,0.534,OD,350
A3,0.5486,OD,360
A3,0.556,OD,370
A3,0.5646,OD,380
A3,0.5704,OD,390
A3,0.5831,OD,400
A3,0.5892,OD,410
A3,0.5953,OD,420
A3,0.6008,OD,430
A3,0.6047,OD,440
A3,0.6126,OD,450
A3,0.618,OD,460
A3,0.6251,OD,470
A3,0.63,OD,480
A3,0.6348,OD,490
A3,0.6401,OD,500
A3,0.645,OD,510
A3,0.6516,OD,520
A3,0.6553,OD,530
A3,0.66,OD,540
A3,0.6663,OD,550
A3,0.6707,OD,560
A3,0.6756,OD,570
A3,0.6805,OD,580
A3,0.685,OD,590
A3,0.6921,OD,600
A3,0.697,OD,610
A3,0.7062,OD,620
A3,0.7142,OD,630
A3,0.7206,OD,640
A3,0.7319,OD,650
A3,0.7324,OD,660
A3,0.7263,OD,670
A3,0.7244,OD,680
A3,0.7273,OD,690
A3,0.7249,OD,700
A3,0.7218,OD,710
A3,0.721,OD,720
A3,0.7234,OD,730
A3,0.7172,OD,740
A3,0.7178,OD,750
A3,0.7153,OD,760
A3,0.7139,OD,770
A3,0.7147,OD,780
A3,0.7139,OD,790
A3,0.7149,OD,800
A3,0.7132,OD,810
A3,0.7123,OD,820
A3,0.7125,OD,830
A3,0.7128,OD,840
A3,0.7134,OD,850
A3,0.7139,OD,860
A3,0.7159,OD,869
A3,0.718,OD,880
A3,0.7166,OD,889
A3,0.7184,OD,899
A3,0.7226,OD,909
A3,0.7281,OD,920
A3,0.731,OD,929
A3,0.7321,OD,939
A3,0.7337,OD,949
A3,0.7358,OD,959
A3,0.7348,OD,969
A3,0.7376,OD,979
A3,0.7369,OD,989
A3,0.7378,OD,999
A3,0.7385,OD,1009
A3,0.7403,OD,1019
A3,0.7403,OD,1029
A3,0.7456,OD,1039
A3,0.7512,OD,1049
A3,0.7467,OD,1059
A3,0.7561,OD,1069
A3,0.745,OD,1079
A3,0.746,OD,1089
A3,0.7466,OD,1099
A3,0.7466,OD,1109
A3,0.7459,OD,1119
A3,0.749,OD,1129
A3,0.7476,OD,1139
A3,0.7577,OD,1150
A3,0.7466,OD,1159
A3,0.7476,OD,1170
A3,0.7475,OD,1179
A3,0.749,OD,1190
A3,0.7484,OD,1199
A3,0.7589,OD,1209
A3,0.7498,OD,1219
A3,0.7493,OD,1229
A3,0.7483,OD,1240
A3,0.7493,OD,1249
A3,0.7485,OD,1260
A3,0.7686,OD,1269
A3,0.7531,OD,1279
A3,0.7487,OD,1289
A3,0.748,OD,1299
A3,0.7493,OD,1309
A3,0.7484,OD,1319
A3,0.7487,OD,1329
A3,0.7656,OD,1339
A4,0.1096,OD,0
A4,0.1094,OD,10
A4,0.1094,OD,20
A4,0.1097,OD,30
A4,0.1102,OD,40
A4,0.1108,OD,50
A4,0.1116,OD,60
A4,0.1127,OD,70
A4,0.114,OD,80
A4,0.116,OD,90
A4,0.1186,OD,100
A4,0.1221,OD,110
A4,0.1265,OD,120
A4,0.1322,OD,130
A4,0.1396,OD,140
A4,0.1484,OD,150
A4,0.1592,OD,160
A4,0.1723,OD,170
A4,0.1881,OD,180
A4,0.2062,OD,190
A4,0.2279,OD,200
A4,0.2495,OD,210
A4,0.2727,OD,220
A4,0.2976,OD,230
A4,0.3176,OD,240
A4,0.3368,OD,250
A4,0.3529,OD,260
A4,0.3606,OD,270
A4,0.3775,OD,280
A4,0.3847,OD,290
A4,0.3963,OD,300
A4,0.4097,OD,310
A4,0.4247,OD,320
A4,0.4378,OD,330
A4,0.4525,OD,340
A4,0.4675,OD,350
A4,0.4775,OD,360
A4,0.4903,OD,370
A4,0.4981,OD,380
A4,0.5101,OD,390
A4,0.5205,OD,400
A4,0.5295,OD,410
A4,0.5349,OD,420
A4,0.5406,OD,430
A4,0.5449,OD,440
A4,0.5489,OD,450
A4,0.5545,OD,460
A4,0.5619,OD,470
A4,0.5667,OD,480
A4,0.5723,OD,490
A4,0.5772,OD,500
A4,0.5826,OD,510
A4,0.5883,OD,520
A4,0.5941,OD,530
A4,0.599,OD,540
A4,0.6042,OD,550
A4,0.6095,OD,560
A4,0.6147,OD,570
A4,0.6203,OD,580
A4,0.6243,OD,590
A4,0.6302,OD,600
A4,0.6372,OD,610
A4,0.6435,OD,620
A4,0.6502,OD,630
A4,0.6567,OD,640
A4,0.6671,OD,650
A4,0.6726,OD,660
