"","well","include","strain","isolate","description","strain.isolate","time.min","GFP","OD","other","other.bg","GFP.bg","OD.bg","well.OD.offset","well.GFP.offset","well.other.offset","logOD","specific.growth.rate","specific.growth.rate.adj.r.squared","fit.OD","GFP.rate","GFP.rate.adj.r.squared","other.rate","other.rate.adj.r.squared"
"1","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",10,1139.4,0.0275975,-1.15833333333333,19.2,4038.6,0.08664,0.0027375,-22.0000000000001,0.0416666666666667,-3.59003009007177,NA,NA,NA,NA,NA,NA,NA
"2","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",20,884.2,0.0279375,0.441666666666665,20.6,4134.8,0.0864,0.0027375,-22.0000000000001,0.0416666666666667,-3.57778540660835,NA,NA,NA,NA,NA,NA,NA
"3","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",30,1143,0.0283775,-0.958333333333333,23,4022,0.08616,0.0027375,-22.0000000000001,0.0416666666666667,-3.56215870133478,0.111113460067611,0.963204314420665,0.0285074072677161,-5867.94858013763,-0.163432918032788,113.654671207831,0.328792007266123
"4","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",40,908.6,0.0289175,-0.158333333333333,25.2,4179.4,0.08602,0.0027375,-22.0000000000001,0.0416666666666667,-3.54330833079472,0.163238144063401,0.92318389023558,0.0292263526219606,3366.82449817783,-0.251954826941174,41.0588353436318,-0.20754716981132
"5","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",50,987.8,0.0297575,1.84166666666667,25.2,4117.2,0.08578,0.0027375,-22.0000000000001,0.0416666666666667,-3.51467407792224,0.218196998143526,0.957201559628756,0.0301679787878926,-5600.64037395203,-0.031967135362321,-115.354098611228,-0.0837043633125554
"6","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",60,1043.8,0.0312575,0.0416666666666667,27,4185.2,0.08578,0.0027375,-22.0000000000001,0.0416666666666667,-3.46549593159512,0.298540308134477,0.964084866933552,0.0315244630148214,7240.09160418342,0.300842715538278,-87.5510551504834,-0.181974248927038
"7","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",70,934.6,0.0327375,-3.95833333333333,28,4197.4,0.0858,0.0027375,-22.0000000000001,0.0416666666666667,-3.41923406914831,0.381093525323505,0.975260022174887,0.0333707967112101,-834.262371405954,-0.323018001235754,-93.4949209334253,-0.141886151231945
"8","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",80,1125.4,0.0353575,0.441666666666665,27.6,4227.6,0.08548,0.0027375,-22.0000000000001,0.0416666666666667,-3.34224474506962,0.475052975254721,0.973558573553854,0.0358965452803997,-2092.68049092782,-0.258332510359895,43.4582210576068,-0.261753494282084
"9","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",90,923.8,0.0384375,-0.958333333333333,28,4184.2,0.0854,0.0027375,-22.0000000000001,0.0416666666666667,-3.2587217334154,0.581058130535465,0.987861594542318,0.0391538767634544,4756.61710652962,-0.0655529904478822,131.787716224725,0.369441277080959
"10","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",100,986.6,0.0428575,-0.158333333333333,29.2,4259.4,0.08528,0.0027375,-22.0000000000001,0.0416666666666667,-3.14987462008264,0.677071025414466,0.988902419789374,0.0435099960317464,6092.39310908209,0.0769844280956899,-33.0958430552217,-0.112135176651306
"11","A3",TRUE,"JEB1204",1,NA,"JEB1204__1",110,1159.2,0.0482575,0.641666666666668,28.4,4247.8,0.08528,0.0027375,-22.0000000000001,0.0416666666666667,-3.03120402286224,0.781167854877509,0.992806679670177,0.0491108635020304,12652.190486822,0.969110365867995,-36.6517685018018,-0.0333333333333332
