well,include,strain,isolate,description
A1,1,blank,1,
A2,1,JEB1203,1,
A3,1,JEB1204,1,
A4,1,JEB1205,1,
A5,1,JEB1203,1,
A6,1,JEB1204,1,
A7,1,JEB1205,1,
A8,1,JEB1203,1,
A9,1,JEB1204,1,
A10,1,JEB1205,1,
A11,1,JEB1206,1,
A12,1,blank,1,
B1,1,JEB1206,1,
B2,1,JEB1203,1,
B3,1,JEB1204,1,
B4,1,JEB1205,1,
B5,1,JEB1206,1,
B6,1,JEB1207,1,
B7,1,JEB1208,1,
B8,1,JEB1206,1,
B9,1,JEB1207,1,
B10,1,JEB1208,1,
B11,1,JEB1207,1,
B12,1,JEB1208,1,
C1,1,BB105,1,
C2,1,BB106,1,
C3,1,BB107,1,
C4,1,BB108,1,
C5,1,BB109,1,
C6,1,BB110,1,
C7,1,BB111,1,
C8,1,BB112,1,
C9,1,BB113,1,
C10,1,BB114,1,
C11,1,BB127,1,
C12,1,BB128,1,
D1,1,BB129,1,
D2,1,BB130,1,
D3,1,BB131,1,
D4,1,BB373,1,
D5,1,BB0,1,
D6,1,JEB1207,1,
D7,1,BB105,1,
D8,1,BB106,1,
D9,1,BB107,1,
D10,1,BB108,1,
D11,1,BB109,1,
D12,1,BB110,1,
E1,1,JEB1208,1,
E2,1,BB111,1,
E3,1,BB112,1,
E4,1,BB113,1,
E5,1,BB114,1,
E6,1,BB373,1,
E7,1,BB127,1,
E8,1,BB128,1,
E9,1,BB129,1,
E10,1,BB130,1,
E11,1,BB131,1,
E12,1,BB373,1,
F1,1,BB0,1,
F2,1,BB131,1,
F3,1,BB105,1,
F4,1,BB106,1,
F5,1,BB107,1,
F6,1,BB108,1,
F7,1,BB109,1,
F8,1,BB110,1,
F9,1,BB111,1,
F10,1,BB112,1,
F11,1,BB113,1,
F12,1,BB114,1,
G1,1,BB127,1,
G2,1,BB128,1,
G3,1,BB129,1,
G4,1,BB130,1,
G5,1,BB131,1,
G6,1,BB373,1,
G7,1,BB0,1,
G8,1,blank,1,
G9,1,BB105,1,
G10,1,BB106,1,
G11,1,BB107,1,
G12,1,BB108,1,
H1,1,blank,1,
H2,1,BB109,1,
H3,1,BB110,1,
H4,1,BB111,1,
H5,1,BB112,1,
H6,1,BB113,1,
H7,1,BB114,1,
H8,1,BB127,1,
H9,1,BB128,1,
H10,1,BB129,1,
H11,1,BB130,1,
H12,1,blank,1,
