well,include,strain,isolate,description,strain.isolate
A1,TRUE,blank,NA,NA,blank
A2,TRUE,JEB1203,1,NA,JEB1203__1
A3,TRUE,JEB1204,1,NA,JEB1204__1
A4,TRUE,JEB1205,1,NA,JEB1205__1
A5,TRUE,JEB1203,1,NA,JEB1203__1
A6,TRUE,JEB1204,1,NA,JEB1204__1
A7,TRUE,JEB1205,1,NA,JEB1205__1
A8,TRUE,JEB1203,1,NA,JEB1203__1
A9,TRUE,JEB1204,1,NA,JEB1204__1
A10,TRUE,JEB1205,1,NA,JEB1205__1
A11,TRUE,JEB1206,1,NA,JEB1206__1
A12,TRUE,blank,NA,NA,blank
B1,TRUE,JEB1206,1,NA,JEB1206__1
B2,TRUE,JEB1203,1,NA,JEB1203__1
B3,TRUE,JEB1204,1,NA,JEB1204__1
B4,TRUE,JEB1205,1,NA,JEB1205__1
B5,TRUE,JEB1206,1,NA,JEB1206__1
B6,TRUE,JEB1207,1,NA,JEB1207__1
B7,TRUE,JEB1208,1,NA,JEB1208__1
B8,TRUE,JEB1206,1,NA,JEB1206__1
B9,TRUE,JEB1207,1,NA,JEB1207__1
B10,TRUE,JEB1208,1,NA,JEB1208__1
B11,TRUE,JEB1207,1,NA,JEB1207__1
B12,TRUE,JEB1208,1,NA,JEB1208__1
C1,TRUE,BB105,1,NA,BB105__1
C2,TRUE,BB106,1,NA,BB106__1
C3,TRUE,BB107,1,NA,BB107__1
C4,TRUE,BB108,1,NA,BB108__1
C5,TRUE,BB109,1,NA,BB109__1
C6,TRUE,BB110,1,NA,BB110__1
C7,TRUE,BB111,1,NA,BB111__1
C8,TRUE,BB112,1,NA,BB112__1
C9,TRUE,BB113,1,NA,BB113__1
C10,TRUE,BB114,1,NA,BB114__1
C11,TRUE,BB127,1,NA,BB127__1
C12,TRUE,BB128,1,NA,BB128__1
D1,TRUE,BB129,1,NA,BB129__1
D2,TRUE,BB130,1,NA,BB130__1
D3,TRUE,BB131,1,NA,BB131__1
D4,TRUE,BB373,1,NA,BB373__1
D5,TRUE,BB0,1,NA,BB0__1
D6,TRUE,JEB1207,1,NA,JEB1207__1
D7,TRUE,BB105,1,NA,BB105__1
D8,TRUE,BB106,1,NA,BB106__1
D9,TRUE,BB107,1,NA,BB107__1
D10,TRUE,BB108,1,NA,BB108__1
D11,TRUE,BB109,1,NA,BB109__1
D12,TRUE,BB110,1,NA,BB110__1
E1,TRUE,JEB1208,1,NA,JEB1208__1
E2,TRUE,BB111,1,NA,BB111__1
E3,TRUE,BB112,1,NA,BB112__1
E4,TRUE,BB113,1,NA,BB113__1
E5,TRUE,BB114,1,NA,BB114__1
E6,TRUE,BB373,1,NA,BB373__1
E7,TRUE,BB127,1,NA,BB127__1
E8,TRUE,BB128,1,NA,BB128__1
E9,TRUE,BB129,1,NA,BB129__1
E10,TRUE,BB130,1,NA,BB130__1
E11,TRUE,BB131,1,NA,BB131__1
E12,TRUE,BB373,1,NA,BB373__1
F1,TRUE,BB0,1,NA,BB0__1
F2,TRUE,BB131,1,NA,BB131__1
F3,TRUE,BB105,1,NA,BB105__1
F4,TRUE,BB106,1,NA,BB106__1
F5,TRUE,BB107,1,NA,BB107__1
F6,TRUE,BB108,1,NA,BB108__1
F7,TRUE,BB109,1,NA,BB109__1
F8,TRUE,BB110,1,NA,BB110__1
F9,TRUE,BB111,1,NA,BB111__1
F10,TRUE,BB112,1,NA,BB112__1
F11,TRUE,BB113,1,NA,BB113__1
F12,TRUE,BB114,1,NA,BB114__1
G1,TRUE,BB127,1,NA,BB127__1
G2,TRUE,BB128,1,NA,BB128__1
G3,TRUE,BB129,1,NA,BB129__1
G4,TRUE,BB130,1,NA,BB130__1
G5,TRUE,BB131,1,NA,BB131__1
G6,TRUE,BB373,1,NA,BB373__1
G7,TRUE,BB0,1,NA,BB0__1
G8,TRUE,blank,NA,NA,blank
G9,TRUE,BB105,1,NA,BB105__1
G10,TRUE,BB106,1,NA,BB106__1
G11,TRUE,BB107,1,NA,BB107__1
G12,TRUE,BB108,1,NA,BB108__1
H1,TRUE,blank,NA,NA,blank
H2,TRUE,BB109,1,NA,BB109__1
H3,TRUE,BB110,1,NA,BB110__1
H4,TRUE,BB111,1,NA,BB111__1
H5,TRUE,BB112,1,NA,BB112__1
H6,TRUE,BB113,1,NA,BB113__1
H7,TRUE,BB114,1,NA,BB114__1
H8,TRUE,BB127,1,NA,BB127__1
H9,TRUE,BB128,1,NA,BB128__1
H10,TRUE,BB129,1,NA,BB129__1
H11,TRUE,BB130,1,NA,BB130__1
H12,TRUE,blank,NA,NA,blank
