well,strain,include,isolate
A1,blank,1,
A2,blank,1,
A3,blank,1,
A4,blank,1,
A5,blank,1,
A6,blank,1,
A7,blank,1,
A8,blank,1,
A9,blank,1,
A10,blank,1,
A11,blank,1,
A12,blank,1,
B1,blank,0,
B2,BM01,1,
B3,BM01_with_002,1,2
B4,BM01_with_003,1,2
B5,BM01_with_004,1,2
B6,BM01_with_006,1,2
B7,BM01_with_007,1,2
B8,MG1655_BM_93,0,
B9,saturated_BM01_with_003,0,1
B10,saturated_BM01_with_007,0,1
B11,BM01_with_002,0,2
B12,blank,1,
C1,blank,1,
C2,BM01,1,
C3,BM01_with_002,1,2
C4,BM01_with_003,1,2
C5,BM01_with_004,1,2
C6,BM01_with_006,1,2
C7,BM01_with_007,1,2
C8,MG1655_BM_93,0,
C9,saturated_BM01_with_003,0,2
C10,saturated_BM01_with_007,0,2
C11,BM01_with_003,0,1
C12,blank,1,
D1,blank,0,
D2,BM01,1,
D3,BM01_with_002,1,2
D4,BM01_with_003,1,2
D5,BM01_with_004,1,2
D6,BM01_with_006,1,2
D7,BM01_with_007,1,2
D8,MG1655_BM_93,0,
D9,saturated_BM01_with_004,0,1
D10,saturated_DH10B_BM_92,0,
D11,BM01_with_003,0,2
D12,blank,1,
E1,blank,1,
E2,BM01_with_002,1,1
E3,BM01_with_003,1,1
E4,BM01_with_004,1,1
E5,BM01_with_006,1,1
E6,BM01_with_007,1,1
E7,DH10B_BM_92,0,
E8,saturated_BM01,0,
E9,saturated_BM01_with_004,0,2
E10,saturated_MG1655_BM_93,0,
E11,BM01_with_004,0,1
E12,blank,1,
F1,blank,1,
F2,BM01_with_002,1,1
F3,BM01_with_003,1,1
F4,BM01_with_004,1,1
F5,BM01_with_006,1,1
F6,BM01_with_007,1,1
F7,DH10B_BM_92,0,
F8,saturated_BM01_with_002,0,1
F9,saturated_BM01_with_006,0,1
F10,BM01,1,
F11,BM01_with_004,0,2
F12,blank,1,
G1,blank,1,
G2,BM01_with_002,1,1
G3,BM01_with_003,1,1
G4,BM01_with_004,1,1
G5,BM01_with_006,1,1
G6,BM01_with_007,1,1
G7,DH10B_BM_92,0,
G8,saturated_BM01_with_002,0,2
G9,saturated_BM01_with_006,0,2
G10,BM01_with_002,0,1
G11,BM01_with_006,0,1
G12,blank,1,
