well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB271,,
A3,1,BB272,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB271,,
A7,1,BB272,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB271,,
A11,1,BB272,,
A12,1,blank,,
B1,1,BB273,,
B2,1,BB274,,
B3,1,BB275,,
B4,1,BB276,,
B5,1,BB273,,
B6,1,BB274,,
B7,1,BB275,,
B8,1,BB276,,
B9,1,BB273,,
B10,1,BB274,,
B11,1,BB275,,
B12,1,BB276,,
C1,1,BB277,,
C2,1,BB278,,
C3,1,BB279,,
C4,1,BB280,,
C5,1,BB277,,
C6,1,BB278,,
C7,1,BB279,,
C8,1,BB280,,
C9,1,BB277,,
C10,1,BB278,,
C11,1,BB279,,
C12,1,BB280,,
D1,1,BB281,,
D2,1,BB282,,
D3,1,BB283,,
D4,1,BB284,,
D5,1,BB281,,
D6,1,BB282,,
D7,1,BB283,,
D8,1,BB284,,
D9,1,BB281,,
D10,1,BB282,,
D11,1,BB283,,
D12,1,BB284,,
E1,1,BB285,,
E2,1,BB286,,
E3,1,BB287,,
E4,1,BB288,,
E5,1,BB285,,
E6,1,BB286,,
E7,1,BB287,,
E8,1,BB288,,
E9,1,BB285,,
E10,1,BB286,,
E11,1,BB287,,
E12,1,BB288,,
F1,1,BB289,,
F2,1,BB290,,
F3,1,BB291,,
F4,1,BB292,,
F5,1,BB289,,
F6,1,BB290,,
F7,1,BB291,,
F8,1,BB292,,
F9,1,BB289,,
F10,1,BB290,,
F11,1,BB291,,
F12,1,BB292,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,JEB1208,,
H3,1,BB293,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1208,,
H7,1,BB293,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1208,,
H11,1,BB293,,
H12,1,blank,,
