"","well","include","strain","isolate","description","strain.isolate","time.min","GFP","OD","other","other.bg","GFP.bg","OD.bg","well.OD.offset","well.GFP.offset","well.other.offset","logOD","specific.growth.rate","specific.growth.rate.adj.r.squared","fit.OD","GFP.rate","GFP.rate.adj.r.squared","other.rate","other.rate.adj.r.squared"
"1","C12",TRUE,"BB128",1,NA,"BB128__1",10,1257.15,0.0165808333333333,63.8833333333333,19.2,4038.6,0.08664,0.000420833333333336,-48.25,3.08333333333334,-4.09950786917898,NA,NA,NA,NA,NA,NA,NA
"2","C12",TRUE,"BB128",1,NA,"BB128__1",20,1264.95,0.0169208333333333,66.4833333333333,20.6,4134.8,0.0864,0.000420833333333336,-48.25,3.08333333333334,-4.07920967463783,NA,NA,NA,NA,NA,NA,NA
"3","C12",TRUE,"BB128",1,NA,"BB128__1",30,1230.75,0.0178608333333333,63.0833333333333,23,4022,0.08616,0.000420833333333336,-48.25,3.08333333333334,-4.0251450454211,0.407196013223718,0.910154250234612,0.0184079437352051,-8272.51550692024,0.47401692047377,78.2270969921527,-0.300161253167473
"4","C12",TRUE,"BB128",1,NA,"BB128__1",40,1248.35,0.0194008333333333,68.8833333333333,25.2,4179.4,0.08602,0.000420833333333336,-48.25,3.08333333333334,-3.94243925850895,0.593086482687984,0.956936332498941,0.0200059851101038,-6687.99857960632,0.334503851321113,-59.9820500413115,-0.307984790874525
"5","C12",TRUE,"BB128",1,NA,"BB128__1",50,1138.55,0.0217408333333333,63.8833333333333,25.2,4117.2,0.08578,0.000420833333333336,-48.25,3.08333333333334,-3.82856306622366,0.786611956059886,0.970264491278248,0.0224665754651362,6473.61678355011,-0.0778641895823733,112.166627437748,-0.228929924242421
"6","C12",TRUE,"BB128",1,NA,"BB128__1",60,1199.55,0.0251408333333333,65.0833333333333,27,4185.2,0.08578,0.000420833333333336,-48.25,3.08333333333334,-3.68326192866323,0.992931711837862,0.978581584972548,0.0260788466861132,8452.82779001811,0.184041330253523,147.245775329658,-0.145270890725434
"7","C12",TRUE,"BB128",1,NA,"BB128__1",70,1376.35,0.0302208333333333,67.0833333333333,28,4197.4,0.0858,0.000420833333333336,-48.25,3.08333333333334,-3.49922374696072,1.17800099165032,0.989235208826612,0.0311830176524439,18386.9311941035,0.793978926747291,342.494113912769,0.890743316334414
"8","C12",TRUE,"BB128",1,NA,"BB128__1",80,1313.15,0.0376408333333333,70.4833333333333,27.6,4227.6,0.08548,0.000420833333333336,-48.25,3.08333333333334,-3.2796658249422,1.32093690588545,0.996726703048172,0.0382459245512758,15700.4963808613,0.812993552006948,260.419903999097,0.864545296470178
"9","C12",TRUE,"BB128",1,NA,"BB128__1",90,1559.55,0.0474208333333333,70.0833333333333,28,4184.2,0.0854,0.000420833333333336,-48.25,3.08333333333334,-3.04869362504224,1.38727813082654,0.999703257736177,0.0476968666014408,10320.1747845031,0.725023325932685,359.772060990725,0.699914102369763
"10","C12",TRUE,"BB128",1,NA,"BB128__1",100,1608.35,0.0603408333333333,71.8833333333333,29.2,4259.4,0.08528,0.000420833333333336,-48.25,3.08333333333334,-2.80774623471793,1.38076785363197,0.99950451175847,0.0598563632817392,12608.1833012103,0.8596288585489,306.734305149495,0.740424751158203
"11","C12",TRUE,"BB128",1,NA,"BB128__1",110,1638.95,0.0758408333333334,80.6833333333333,28.4,4247.8,0.08528,0.000420833333333336,-48.25,3.08333333333334,-2.57911843305073,1.3404230050731,0.99891413660687,0.0749748520888932,13297.2586437111,0.792189602598777,280.093917025692,0.843419788664745
"12","C12",TRUE,"BB128",1,NA,"BB128__1",120,1902.35,0.0940608333333333,80.4833333333333,29.6,4269.4,0.08546,0.000420833333333336,-48.25,3.08333333333334,-2.36381354291131,1.27719410295252,0.99903479174602,0.0932850771648066,15243.5956877407,0.93377691869918,240.552944608228,0.852820460635664
"13","C12",TRUE,"BB128",1,NA,"BB128__1",130,2243.35,0.116060833333333,83.2833333333333,29.8,4226.4,0.08536,0.000420833333333336,-48.25,3.08333333333334,-2.1536408000513,1.19927833788549,0.99758004845812,0.114491403623298,15197.6475519943,0.997594442207663,213.815179352196,0.82896243541405
"14","C12",TRUE,"BB128",1,NA,"BB128__1",140,2491.15,0.141400833333333,89.2833333333333,28.8,4231.6,0.08552,0.000420833333333336,-48.25,3.08333333333334,-1.95615663209054,1.10135262164597,0.994424885559488,0.1383947679034,14835.8209714485,0.970798037454732,158.676518864703,0.706245731669461
"15","C12",TRUE,"BB128",1,NA,"BB128__1",150,2794.55,0.168040833333333,96.6833333333333,28.4,4210.2,0.08508,0.000420833333333336,-48.25,3.08333333333334,-1.78354827355654,0.97635759863722,0.991067703976918,0.164409782577979,13598.460900218,0.975990496545086,156.195085215321,0.736266816143499
"16","C12",TRUE,"BB128",1,NA,"BB128__1",160,3337.75,0.195720833333333,92.0833333333333,30,4219,0.0851,0.000420833333333336,-48.25,3.08333333333334,-1.63106595478705,0.820033384261373,0.981452764273976,0.190648554283209,14058.3284781617,0.98538657344938,100.079437117874,0.586946234210622
"17","C12",TRUE,"BB128",1,NA,"BB128__1",170,3683.15,0.222560833333333,103.283333333333,28.8,4302.6,0.08506,0.000420833333333336,-48.25,3.08333333333334,-1.50255480650536,0.676480035160348,0.976698371283173,0.216139206177064,17340.4911875619,0.929054028570055,68.2893227057954,0.443349247908003
"18","C12",TRUE,"BB128",1,NA,"BB128__1",180,4280.35,0.243340833333333,101.883333333333,29.2,4216.4,0.08498,0.000420833333333336,-48.25,3.08333333333334,-1.41329221206499,0.56232804705439,0.986598733356662,0.240508438356101,17480.467748808,0.954325754391101,92.8033966398825,0.736723268689494
"19","C12",TRUE,"BB128",1,NA,"BB128__1",190,5446.55,0.264820833333333,104.083333333333,29,4273.2,0.085,0.000420833333333336,-48.25,3.08333333333334,-1.32870178228395,0.486900886545412,0.99735286762892,0.263279684939405,17144.9612644397,0.977133764581685,62.8988902193928,0.763987323537884
"20","C12",TRUE,"BB128",1,NA,"BB128__1",200,5959.55,0.286680833333333,110.283333333333,29.8,4204.2,0.08514,0.000420833333333336,-48.25,3.08333333333334,-1.2493857610191,0.418299296349161,0.978815298076512,0.283097547010493,15963.8260653402,0.977170972530033,60.1912668616953,0.795733243742652
"21","C12",TRUE,"BB128",1,NA,"BB128__1",210,6605.15,0.307660833333333,112.883333333333,30.2,4187.6,0.08506,0.000420833333333336,-48.25,3.08333333333334,-1.17875729324046,0.368375270018892,0.982984038767551,0.302818945251942,15430.2102733779,0.968344950955388,53.4973133418775,0.785863424220094
"22","C12",TRUE,"BB128",1,NA,"BB128__1",220,7467.15,0.319920833333333,111.683333333333,30.4,4213.6,0.0851,0.000420833333333336,-48.25,3.08333333333334,-1.1396817096291,0.303049668022944,0.977217341555988,0.320309681033023,14582.7624845296,0.968220006375582,23.9767963779036,0.486686686686688
"23","C12",TRUE,"BB128",1,NA,"BB128__1",230,8586.55,0.340760833333333,116.883333333333,29.2,4222.2,0.08506,0.000420833333333336,-48.25,3.08333333333334,-1.07657441629654,0.259406017142536,0.982242529912957,0.336121842521155,14642.1903530123,0.969631259823987,30.3461385415857,0.56765182691109
"24","C12",TRUE,"BB128",1,NA,"BB128__1",240,8861.35,0.350660833333333,114.683333333333,29.4,4185.4,0.08506,0.000420833333333336,-48.25,3.08333333333334,-1.04793580947194,0.24213578694146,0.977671060327192,0.350315163553145,10980.7407734905,0.889939774115912,14.0444962476013,-0.0964059196617328
